field_1,lfenzid,lake_name,site,indicator,indicator_name,measurement,value,units,tli_band,nof_band,max_nof_band,national_bottom_line,max_national_bottom_line,lake_category,lake_type,lake_volume,nzsegment,lat,long,region,depth_bin,human_modified,period,n_leftcensored,n_rightcensored,dl,al,imputed_lower,imputed_upper,n_values,n_month,n_qtr,n_years,filter_ok,incl_ineq
1318,15034,Lake Areare,LAWA-102304,ECOLI,E. coli,20th,25.5,cfu/100mL,NA,NA,A,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,35,35,15,4,FALSE,25.5
1319,15034,Lake Areare,LAWA-102304,ECOLI,E. coli,25th,30,cfu/100mL,NA,NA,A,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,35,35,15,4,FALSE,30
1320,15034,Lake Areare,LAWA-102304,ECOLI,E. coli,Median,51,cfu/100mL,NA,A,A,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,35,35,15,4,FALSE,51
1321,15034,Lake Areare,LAWA-102304,ECOLI,E. coli,75th,125,cfu/100mL,NA,NA,A,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,35,35,15,4,FALSE,125
1322,15034,Lake Areare,LAWA-102304,ECOLI,E. coli,80th,155,cfu/100mL,NA,NA,A,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,35,35,15,4,FALSE,155
1323,15034,Lake Areare,LAWA-102304,ECOLI,E. coli,95th,507.5,cfu/100mL,NA,A,A,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,35,35,15,4,FALSE,507.5
1324,15034,Lake Areare,LAWA-102304,ECOLI,E. coli,G540,0.028571429,cfu/100mL,NA,A,A,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1325,15034,Lake Areare,LAWA-102304,ECOLI,E. coli,G260,0.114285714,cfu/100mL,NA,A,A,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1326,15034,Lake Areare,LAWA-102304,ECOLI,E. coli,Annual maximum,2200,cfu/100mL,NA,NA,A,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,35,35,15,4,FALSE,2200
1327,15034,Lake Areare,LAWA-102304,NH4N,Ammoniacal nitrogen,5th,0.01,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.01
1328,15034,Lake Areare,LAWA-102304,NH4N,Ammoniacal nitrogen,20th,0.01,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.01
1329,15034,Lake Areare,LAWA-102304,NH4N,Ammoniacal nitrogen,25th,0.01,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.01
1330,15034,Lake Areare,LAWA-102304,NH4N,Ammoniacal nitrogen,Median,0.023,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.023
1331,15034,Lake Areare,LAWA-102304,NH4N,Ammoniacal nitrogen,75th,0.0825,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.0825
1332,15034,Lake Areare,LAWA-102304,NH4N,Ammoniacal nitrogen,80th,0.163,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.163
1333,15034,Lake Areare,LAWA-102304,NH4N,Ammoniacal nitrogen,95th,0.3435,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.3435
1334,15034,Lake Areare,LAWA-102304,NH4N,Ammoniacal nitrogen,Annual maximum,0.5,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.5
1335,15034,Lake Areare,LAWA-102304,NH4N_adj,Ammoniacal nitrogen (adjusted),5th,0.01,mg/L,NA,NA,C,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.01
1336,15034,Lake Areare,LAWA-102304,NH4N_adj,Ammoniacal nitrogen (adjusted),20th,0.01,mg/L,NA,NA,C,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.01
1337,15034,Lake Areare,LAWA-102304,NH4N_adj,Ammoniacal nitrogen (adjusted),25th,0.01,mg/L,NA,NA,C,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.01
1338,15034,Lake Areare,LAWA-102304,NH4N_adj,Ammoniacal nitrogen (adjusted),Median,0.023,mg/L,NA,A,C,FALSE,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.023
1339,15034,Lake Areare,LAWA-102304,NH4N_adj,Ammoniacal nitrogen (adjusted),75th,0.0825,mg/L,NA,NA,C,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.0825
1340,15034,Lake Areare,LAWA-102304,NH4N_adj,Ammoniacal nitrogen (adjusted),80th,0.163,mg/L,NA,NA,C,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.163
1341,15034,Lake Areare,LAWA-102304,NH4N_adj,Ammoniacal nitrogen (adjusted),95th,0.3435,mg/L,NA,NA,C,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.3435
1342,15034,Lake Areare,LAWA-102304,NH4N_adj,Ammoniacal nitrogen (adjusted),Annual maximum,0.5,mg/L,NA,C,C,TRUE,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.5
1343,15034,Lake Areare,LAWA-102304,CLAR,Clarity,5th,0.283,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.283
1344,15034,Lake Areare,LAWA-102304,CLAR,Clarity,20th,0.35,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.35
1345,15034,Lake Areare,LAWA-102304,CLAR,Clarity,25th,0.3525,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.3525
1346,15034,Lake Areare,LAWA-102304,CLAR,Clarity,Median,0.46,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.46
1347,15034,Lake Areare,LAWA-102304,CLAR,Clarity,75th,0.6475,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.6475
1348,15034,Lake Areare,LAWA-102304,CLAR,Clarity,80th,0.697,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.697
1349,15034,Lake Areare,LAWA-102304,CLAR,Clarity,95th,0.7635,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.7635
1350,15034,Lake Areare,LAWA-102304,CLAR,Clarity,Annual maximum,0.85,m,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.85
1351,15034,Lake Areare,LAWA-102304,TLI3,Trophic level index 3,5th,5.59734,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,5.59734
1352,15034,Lake Areare,LAWA-102304,TLI3,Trophic level index 3,20th,5.97448,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,5.97448
1353,15034,Lake Areare,LAWA-102304,TLI3,Trophic level index 3,25th,6.02176,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,6.02176
1354,15034,Lake Areare,LAWA-102304,TLI3,Trophic level index 3,Median,6.16312,NA,Supertrophic (very poor),NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,6.16312
1355,15034,Lake Areare,LAWA-102304,TLI3,Trophic level index 3,75th,6.38933,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,6.38933
1356,15034,Lake Areare,LAWA-102304,TLI3,Trophic level index 3,80th,6.41845,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,6.41845
1357,15034,Lake Areare,LAWA-102304,TLI3,Trophic level index 3,95th,6.53913,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,6.53913
1358,15034,Lake Areare,LAWA-102304,TLI3,Trophic level index 3,Annual maximum,6.576840897,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,6.576840897
1359,15034,Lake Areare,LAWA-102304,TLI4,Trophic level index 4,5th,5.59179,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,5.59179
1360,15034,Lake Areare,LAWA-102304,TLI4,Trophic level index 4,20th,5.88215,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,5.88215
1361,15034,Lake Areare,LAWA-102304,TLI4,Trophic level index 4,25th,5.89573,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,5.89573
1362,15034,Lake Areare,LAWA-102304,TLI4,Trophic level index 4,Median,6.07785,NA,Supertrophic (very poor),NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,6.07785
1363,15034,Lake Areare,LAWA-102304,TLI4,Trophic level index 4,75th,6.27125,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,6.27125
1364,15034,Lake Areare,LAWA-102304,TLI4,Trophic level index 4,80th,6.29537,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,6.29537
1365,15034,Lake Areare,LAWA-102304,TLI4,Trophic level index 4,95th,6.46895,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,6.46895
1366,15034,Lake Areare,LAWA-102304,TLI4,Trophic level index 4,Annual maximum,6.528936231,NA,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,6.528936231
1367,15034,Lake Areare,LAWA-102304,TN,Total nitrogen,5th,1.8081,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,1.8081
1368,15034,Lake Areare,LAWA-102304,TN,Total nitrogen,20th,1.8994,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,1.8994
1369,15034,Lake Areare,LAWA-102304,TN,Total nitrogen,25th,1.92475,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,1.92475
1370,15034,Lake Areare,LAWA-102304,TN,Total nitrogen,Median,2.389,mg/L,NA,D,D,TRUE,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,2.389
1371,15034,Lake Areare,LAWA-102304,TN,Total nitrogen,75th,2.5725,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,2.5725
1372,15034,Lake Areare,LAWA-102304,TN,Total nitrogen,80th,2.737,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,2.737
1373,15034,Lake Areare,LAWA-102304,TN,Total nitrogen,95th,3.639,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,3.639
1374,15034,Lake Areare,LAWA-102304,TN,Total nitrogen,Annual maximum,4.01,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,4.01
1375,15034,Lake Areare,LAWA-102304,TP,Total phosphorus,5th,0.0653,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.0653
1376,15034,Lake Areare,LAWA-102304,TP,Total phosphorus,20th,0.0802,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.0802
1377,15034,Lake Areare,LAWA-102304,TP,Total phosphorus,25th,0.083,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.083
1378,15034,Lake Areare,LAWA-102304,TP,Total phosphorus,Median,0.097,mg/L,NA,D,D,TRUE,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.097
1379,15034,Lake Areare,LAWA-102304,TP,Total phosphorus,75th,0.11325,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.11325
1380,15034,Lake Areare,LAWA-102304,TP,Total phosphorus,80th,0.1168,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.1168
1381,15034,Lake Areare,LAWA-102304,TP,Total phosphorus,95th,0.1367,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.1367
1382,15034,Lake Areare,LAWA-102304,TP,Total phosphorus,Annual maximum,0.143,mg/L,NA,NA,D,NA,TRUE,Seasonally stratified and brackish,Stratified,1104667.625,3058285,-37.66805852,175.2012052,Waikato,5-15 m,94.75679567,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,43,43,20,5,TRUE,0.143
1383,15312,Lake Tikitapu (Blue Lake),EBOP-00100,CHLA,Chlorophyll-a,5th,0.73,mg/m3,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,56,56,20,5,TRUE,0.73
1384,15312,Lake Tikitapu (Blue Lake),EBOP-00100,CHLA,Chlorophyll-a,20th,1.07,mg/m3,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,56,56,20,5,TRUE,1.07
1385,15312,Lake Tikitapu (Blue Lake),EBOP-00100,CHLA,Chlorophyll-a,25th,1.15,mg/m3,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,56,56,20,5,TRUE,1.15
1386,15312,Lake Tikitapu (Blue Lake),EBOP-00100,CHLA,Chlorophyll-a,Median,1.95,mg/m3,NA,A,A,FALSE,FALSE,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,56,56,20,5,TRUE,1.95
1387,15312,Lake Tikitapu (Blue Lake),EBOP-00100,CHLA,Chlorophyll-a,75th,3.05,mg/m3,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,56,56,20,5,TRUE,3.05
1388,15312,Lake Tikitapu (Blue Lake),EBOP-00100,CHLA,Chlorophyll-a,80th,3.33,mg/m3,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,56,56,20,5,TRUE,3.33
1389,15312,Lake Tikitapu (Blue Lake),EBOP-00100,CHLA,Chlorophyll-a,95th,6.09,mg/m3,NA,NA,A,NA,FALSE,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,56,56,20,5,TRUE,6.09
1390,15312,Lake Tikitapu (Blue Lake),EBOP-00100,CHLA,Chlorophyll-a,Annual maximum,8.4,mg/m3,NA,A,A,FALSE,FALSE,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,0,0,NA,NA,No censored - no imputation required,No censored - no imputation required,56,56,20,5,TRUE,8.4
1391,15312,Lake Tikitapu (Blue Lake),EBOP-00100,NH4N,Ammoniacal nitrogen,5th,0.00042,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,7,0,0,NA,Imputed,No censored - no imputation required,56,56,20,5,TRUE,<0
1392,15312,Lake Tikitapu (Blue Lake),EBOP-00100,NH4N,Ammoniacal nitrogen,20th,0.001,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,7,0,0,NA,Imputed,No censored - no imputation required,56,56,20,5,TRUE,0.001
1393,15312,Lake Tikitapu (Blue Lake),EBOP-00100,NH4N,Ammoniacal nitrogen,25th,0.001,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,7,0,0,NA,Imputed,No censored - no imputation required,56,56,20,5,TRUE,0.001
1394,15312,Lake Tikitapu (Blue Lake),EBOP-00100,NH4N,Ammoniacal nitrogen,Median,0.002,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,7,0,0,NA,Imputed,No censored - no imputation required,56,56,20,5,TRUE,0.002
1395,15312,Lake Tikitapu (Blue Lake),EBOP-00100,NH4N,Ammoniacal nitrogen,75th,0.004,mg/L,NA,NA,NA,NA,NA,Seasonally stratified and brackish,Stratified,13220396,4093963,-38.19524868,176.3305167,Bay of Plenty,15-50 m,21.0032529,2016-2020,7,0,0,NA,Imputed,No censored - no imputation required,56,56,20,5,TRUE,0.004
